(1629633295.540000) can0  5A2#0091FFFB00AE
(1629633295.541000) can0  482#2904
(1629633295.542000) can0  442#02
(1629633295.542000) can0  5C2#000BFFF7FFA1
(1629633295.543000) can0  462#01010E400AEA
(1629633295.545000) can0  5A2#00AFFFFF00B7
(1629633295.546000) can0  482#28EA
(1629633295.546000) can0  5C2#000BFFF7FF9E
(1629633295.549000) can0  5A2#009FFFF800B8
(1629633295.551000) can0  482#28D0
(1629633295.551000) can0  5C2#000BFFF7FFA0
(1629633295.552000) can0  442#02
(1629633295.553000) can0  462#01010E4E0ACF
(1629633295.554000) can0  5A2#00A0FFF500B5
(1629633295.555000) can0  5C2#000BFFF7FF9E
(1629633295.556000) can0  482#28D0
(1629633295.559000) can0  5A2#008FFFF400AA
(1629633295.560000) can0  5C2#000BFFF7FF9F
(1629633295.561000) can0  482#28EA
(1629633295.562000) can0  442#02
(1629633295.562000) can0  462#01010E250AC1
(1629633295.563000) can0  5A2#00A5FFF100AE
(1629633295.564000) can0  5C2#000BFFF6FFA0
(1629633295.566000) can0  482#28D0
(1629633295.567000) can0  5A2#00A1FFF200AB
(1629633295.569000) can0  5C2#000CFFF6FFA0
(1629633295.569000) can0  682#00000000
(1629633295.569000) can0  562#00000000
(1629633295.571000) can0  482#28EA
(1629633295.571000) can0  642#00B29B46
(1629633295.571000) can0  442#02
(1629633295.572000) can0  5A2#00A4FFF000AB
(1629633295.572000) can0  522#0058B546
(1629633295.573000) can0  462#01010E4E0ADC
(1629633295.573000) can0  5C2#000CFFF6FFA2
(1629633295.576000) can0  482#28EA
(1629633295.578000) can0  5A2#00A5FFF200B0
(1629633295.581000) can0  482#28D0
(1629633295.581000) can0  5A2#00A2FFF900AB
(1629633295.582000) can0  442#02
(1629633295.582000) can0  5C2#000BFFF7FF9F
(1629633295.583000) can0  462#01010E5C0AEA
(1629633295.585000) can0  5A2#0097FFF200B1
(1629633295.586000) can0  482#28EA
(1629633295.586000) can0  5C2#000BFFF7FF9E
(1629633295.590000) can0  5A2#0097FFFC00AA
(1629633295.591000) can0  482#28A9
(1629633295.591000) can0  5C2#000BFFF7FF9F
(1629633295.592000) can0  442#02
(1629633295.593000) can0  462#01010E5C0AEA
(1629633295.594000) can0  5A2#0092000200B1
(1629633295.596000) can0  5C2#000BFFF6FF9F
(1629633295.596000) can0  482#28DD
(1629633295.599000) can0  5A2#00A4FFF800AE
(1629633295.600000) can0  5C2#000BFFF6FF9F
(1629633295.601000) can0  482#2882
(1629633295.602000) can0  442#02
(1629633295.603000) can0  462#01010E5C0AEA
(1629633295.603000) can0  5A2#009EFFFB00A7
(1629633295.604000) can0  5C2#000CFFF6FF9F
(1629633295.606000) can0  482#2868
(1629633295.608000) can0  5A2#0097FFF200B1
(1629633295.609000) can0  5C2#000BFFF6FF9F
(1629633295.611000) can0  482#28EA
(1629633295.612000) can0  442#02
(1629633295.612000) can0  5A2#00ABFFF800AE
(1629633295.613000) can0  462#01010E5C0AF7
(1629633295.613000) can0  5C2#000BFFF6FFA1
(1629633295.616000) can0  482#2904
(1629633295.617000) can0  5A2#00A7000100B2
(1629633295.618000) can0  5C2#000BFFF6FFA0
(1629633295.621000) can0  482#28D0
(1629633295.621000) can0  5A2#008EFFFB00AC
